Maturity,Coupon,Bid,Asked,Chg,Asked yield
6/30/2016,0.5,100.0625,100.0781,0.0234,0.299
6/30/2016,1.5,100.4609,100.4766,0.0391,0.277
6/30/2016,3.25,101.1328,101.1484,0.0078,0.302
12/31/2016,0.625,100,100.0391,unch.,0.605
12/31/2016,0.875,100.2813,100.2969,0.0625,0.54
12/31/2016,3.25,102.3672,102.3828,0.0469,0.562
6/30/2017,0.625,100.0078,100.0234,0.0938,0.608
6/30/2017,0.75,100.1719,100.1875,0.0859,0.614
6/30/2017,2.5,102.5859,102.6016,0.0938,0.617
12/31/2017,0.75,100.1328,100.1484,0.1094,0.671
12/31/2017,1,100.6172,100.6328,0.1016,0.663
12/31/2017,2.75,103.875,103.8906,0.1406,0.675
6/30/2018,1.375,101.5156,101.5313,0.1641,0.728
6/30/2018,2.375,103.9375,103.9531,0.1797,0.704
12/31/2018,1.375,101.5781,101.5938,0.2188,0.816
12/31/2018,1.5,101.9453,101.9609,0.2422,0.812
6/30/2019,1,100.2656,100.2813,0.2656,0.916
6/30/2019,1.625,102.3359,102.3516,0.2734,0.919
12/31/2019,1.125,100.375,100.3906,0.3359,1.022
12/31/2019,1.625,102.2656,102.2813,0.3047,1.025
6/30/2020,1.625,102.2109,102.2266,0.3828,1.104
6/30/2020,1.875,103.3125,103.3281,0.4063,1.096
12/31/2020,1.75,102.8125,102.8281,0.4453,1.153
12/31/2020,2.375,105.6328,105.6484,0.4609,1.183
6/30/2021,2.125,104.4688,104.4844,0.4688,1.262
12/31/2021,2.125,104.4297,104.4453,0.5938,1.338
